Code,Indicator,IndicatorShort,Subsection
NY.GDP.MKTP.CD,GDP (current US$),GDP (US$ billions),other
IN.EC.POP.TOTL,Population (Thousands),Population (millions),other
AG.LND.TOTL.K2,Land area (sq. km),Land area (sq. km),table2head
NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",Income per capita (US$),other
SI.POV.DDAY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty rate,table2head
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Unemployment rate,table2head
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),GDP growth (annual %),other
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Current account balance (% of GDP),other
GC.BAL.CASH.GD.ZS,Cash surplus/deficit (% of GDP),Cash surplus/deficit (% of GDP),other
NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)","Gross fixed capital formation, private sector (% of GDP)",other
NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),"Gross domestic investment, of w: Private investment (% GDP)",table2invest
fdiflowsstock,"Foreign direct investment, net inflows (% of GDP)",Inward FDI (% of GDP),table2invest
BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)","Remittances, received (% of GDP)",table2macro
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)","Central government debt, total (% of GDP)",other
FI.RES.TOTL.MO,Total reserves in months of imports,Total reserves in months of imports,table2trade
PX.REX.REER,Real effective exchange rate index (2010 = 100),Real effective exchange rate index (2010 = 100),other
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",other
NV.SRV.TETC.ZS,"Services, etc., value added (% of GDP)",Services,chart2
NV.IND.TOTL.ZS,"Industry, value added (% of GDP)",Industry,chart2
NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",Manufac.,chart2
NV.AGR.TOTL.ZS,"Agriculture, value added (% of GDP)",Agricul.,chart2
DB,Ease of Doing Business: DTF,Ease of Doing Business,chart5b
CC.EST,Control of Corruption: Estimate,Control of Corruption,chart6
GE.EST,Government Effectiveness: Estimate,Government Effectiveness,chart6
PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,Stability & Absence of Violence,chart6
RL.EST,Rule of Law: Estimate,Rule of Law,chart6
RQ.EST,Regulatory Quality: Estimate,Regulatory Quality,chart6
VA.EST,Voice and Accountability: Estimate,Voice and Accountability,chart6
GCI,Global Competitiveness Index,GCI Global Index,chart7b
Total_MFN_SimpleAverage,MFN Tariff (Simple Average),MFN Tariff (Simple Average),table5
MTNAGR_MFN_SimpleAverage,MFN Tariff (Agriculture),MFN Tariff (Agriculture),table5
MTNNAGR_MFN_SimpleAverage,MFN Tariff (Non-Agriculture),MFN Tariff (Non-Agriculture),table5
Total_MFN_StDeviation,Dispersion (Standard Deviation),Dispersion (Standard Deviation),table5
Total_AHS_SimpleAverage,Applied Tariff (Including Preferences and Trade-Weighted),Applied Tariff (Incl. Prefers. and Trade-Weighted),table5
Total_BND_Binding,Binding (%),Binding (%),table5
LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),Overall score,chart8
TX.QTY.MRCH.XD.WD,Export volume index (2000 = 100),Exports,chart1
TM.QTY.MRCH.XD.WD,Import volume index (2000 = 100),Imports,chart1
