Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Agricultural machinery, tractors",,,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),,,
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),,,
Agricultural land (sq. km),AG.LND.AGRI.K2,Agricultural land (sq. km),,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Agricultural land (% of land area),,,
Arable land (hectares),AG.LND.ARBL.HA,Arable land (hectares),,,
Arable land (hectares per person),AG.LND.ARBL.HA.PC,Arable land (hectares per person),,,
Arable land (% of land area),AG.LND.ARBL.ZS,Arable land (% of land area),,,
Land under cereal production (hectares),AG.LND.CREL.HA,Land under cereal production (hectares),,,
Permanent cropland (% of land area),AG.LND.CROP.ZS,Permanent cropland (% of land area),,,
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),,,
Forest area (sq. km),AG.LND.FRST.K2,Forest area (sq. km),,,
Forest area (% of land area),AG.LND.FRST.ZS,Forest area (% of land area),,,
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),,,
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Average precipitation in depth (mm per year),,,
Land area (sq. km),AG.LND.TOTL.K2,Land area (sq. km),,,
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land",,,
Cereal production (metric tons),AG.PRD.CREL.MT,Cereal production (metric tons),,,
Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,Crop production index (2004-2006 = 100),,,
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Food production index (2004-2006 = 100),,,
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Livestock production index (2004-2006 = 100),,,
